,artist_name,song_title
0,Sanluis,No Soy
1,Flanders & Swann,The Gnu Song
2,Bruno Pelletier,In Your Eyes (duo avec Kim Richardson)
3,PnB Rock,No Time
4,Karen Dotrice,"The Perfect Nanny - From ""Mary Poppins""/Soundtrack Version"
5,Beck,Say Goodbye
6,Aphex Twin,Peek 82454201
7,Henri Salvador,Purée De Pommes De Terre - Remastered
8,Boards of Canada,Semena Mertvykh
9,Maria João Pires,"Sonata No. 15 in C Major, I. Allegro"
10,The Avett Brothers,When I Drink
11,The Singers Unlimited,Girl Talk
12,Hank Williams III,Country Heroes
13,Movements,Deadly Dull
14,Yandel,Hasta Abajo
15,Authority Zero,Atom Bomb
16,Mike And The Censations,There's Nothing I Can Do About It
17,Labrinth,Express Yourself
18,Operation Ivy,Healthy Body
19,French Horn Rebellion,Caaalifornia
20,Katy Perry,Miss You More
21,Frank Caliendo,Madden's Farve of Farveness
22,The Mellomen,Come Where My Love Lies Dreaming
23,BROCKHAMPTON,BOYS
24,Transviolet,The Hamptons
25,Jimmy Eat World,Pain
26,M.I.A.,Double Bubble Trouble
27,Randy Newman,You've Got a Friend in Me - Instrumental Version / Remastered 2015
28,Cardenales Del Exito,La Florecita
29,Evil Nine,Twist The Knife
30,Brian Johnson,Seas of Crimson (Live)
31,Roberto Roena,Tu Loco Loco Y Yo Tranquilo
32,Nick Hakim,Bet She Looks Like You
33,Ought,Beautiful Blue Sky
34,Greg Howe,Extraction
35,Lolo Zouaï,Desert Rose
36,Nightmares On Wax,Me!
37,Trip Lee,Lazarus
38,Kehlani,Let Me Live
39,Max Frost,Money Problems
40,Nicholas Hooper,Wizard Wheezes
41,Iya Terra,New Roots (feat. Jah Faith)
42,Better Oblivion Community Center,Forest Lawn
43,Gustav Mahler,"Kindertotenlieder: 4. ""Oft denk' ich, sie sind nur ausgegangen"""
44,Thomas Newman,Gnarly Chop
45,The Wailers,Mellow Mood - Original Version
46,Chris Cornell,Billie Jean
47,Gil Scott-Heron,My Cloud
48,Hippo Campus,Dollar Bill
49,George Strait,Let's Fall To Pieces Together - Edit
50,BT,Yahweh
51,Charlie Wilson,Touched By An Angel
52,Noname,Bye Bye Baby
53,Adam Beyer,Capsule
54,Fat Freddy's Drop,Roady
55,Leonard Bernstein,"Mass: No. 2, Hymn & Psalm. A Simple Song (Arr. For Voice, Flute, Electric Guitar, Harp & Organ)"
56,Count Basie,You Go to My Head - Remix
57,The Bloody Beetroots,Crash (feat. Jason Aalon Butler)
58,Air,You Make It Easy
59,Randy Scott,Kisses
60,The Beautiful Girls,Music
61,Cemetery Sun,Diamonds
62,Jean-Philippe Rameau,Zaïs: Overture - Live
63,Snoh Aalegra,All I Have - Intro
64,George Carlin,Missing
65,My Morning Jacket,Rocket Man
66,WALK THE MOON,Ghostbusters
67,The Outlaws,Green Grass & High Tides
68,Daft Punk,Sea of Simulation
69,The Bloody Beetroots,I Love the Bloody Beetroots
70,Wolfgang Amadeus Mozart,"Piano Quartet No.2 in E flat, K.493: 3. Allegretto"
71,Chris Janson,Everybody
72,Parov Stelar,The Paris Swing Box
73,Ozzy Osbourne,I Don't Wanna Stop
74,Angela Lansbury,Beauty and the Beast - Remastered 2018
75,Liz Callaway,You There in the Back Row (13 Days to Broadway)
76,The Silent Comedy,Bartholomew
77,MxPx,Another Christmas
78,Adolphe Adam,"Giselle (1996 Digital Remaster), Act II: No.5 Entrance of Myrtha"
79,Scatman Crothers,Transfusion
80,HONNE,Warm on a Cold Night
81,Kayzo,NEVER ALONE
82,Dorothée,La drôle de bête
83,Jakob Bro,Strands
84,Michael Giacchino,That New Car Smell
85,Dario Marianelli,Kitty's Debut
86,ScHoolboy Q,Tookie Knows II
87,Hannah Ellis,Home And A Hometown
88,The Kills,Future Starts Slow
89,Lianne La Havas,What You Don't Do
90,Lil' Kim,Go Awff
91,Dwarves,The Crucifixion Is Now
92,Collie Buddz,Wild Out
93,James Newton Howard,Newt Talks to Credence - Bonus Track
94,Federico Mompou,Musica callada XXVIII / Impresiones intimas I
95,Harry Gregson-Williams,Smiling
96,Bad Wolves,Learn To Live
97,Paul Creston,"Celebration Overture, Op. 61"
98,Mustard Plug,Jerry
99,Banes World,The Better Life
100,Foo Fighters,No Way Back
101,Hannah Kerr,Winter Wonderland
102,Sugar Minott,Slice Of The Cake
103,Sammie,H.L.I.T.L.
104,The Planet Smashers,Unstoppable
105,Harry Gregson-Williams,Father Christmas
106,Randy Rogers Band,San Antone
107,Soccer Mommy,Henry
108,Kyle Dion,Hold on to Me
109,Eric B. & Rakim,Paid In Full
110,Juanka,Cuando Se Apague la Luz
111,Of Monsters and Men,Slow And Steady
112,Travis Cottrell,Soon And Very Soon - Medley/Live
113,Jim Gaffigan,Morning Person
114,Zeds Dead,Slow Down
115,Henri Salvador,Une belle journée
116,Leona Lewis,Yesterday
117,Bob Marley & The Wailers,"Natural Mystic - Live At Rainbow Theatre, London / 1977"
118,Bedřich Smetana,Má Vlast (My Fatherland): Vltava (The Moldau River)
119,James Blake,Vincent
120,Jeff Lorber,Ain't Nobody
121,Henry Cho,Public Engagement
122,Billie Holiday,There Is No Greater Love
123,Jacques Offenbach,La belle Helene: Overture
124,Bill Frisell,Rumble
125,Richard Wagner,"Parsifal: Act II - ""Amfortas! Die Wunde!"""
126,Rage Against The Machine,Pistol Grip Pump
127,Eluvium,to this work
128,The Cat Empire,Panama
129,Starset,Telepathic
130,Washed Out,Face Up
131,Howard Shore,The Siege Of Gondor
132,Tom Waits,San Diego Serenade
133,Daniel Pemberton,Knights of the Round Table
134,Kid Cudi,Brothers
135,The Replacements,Swingin Party - 2008 Remastered Version
136,Wolfgang Amadeus Mozart,"Piano Sonata No. 15 in F Major, K. 533: I. Allegro - Remastered"
137,Armor For Sleep,Car Underwater
138,Georges Bizet,"Bizet: Carmen, Act 1: ""Près des remparts de Séville"" (Carmen, José)"
139,Deftones,Rosemary
140,Shelby Flint,Cast Your Fate to the Wind
141,Carl Philipp Emanuel Bach,"Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto"
142,Trevor Morris,The Lost Temple
143,NEEDTOBREATHE,HAPPINESS - Acoustic
144,Sara Bareilles,No Such Thing
145,Galantis,Salvage (Up All Night) [feat.Poo Bear]
146,Trip Lee,Insomniac
147,Ryuichi Sakamoto,Rain
148,Hollywood Undead,Something to Believe
149,Howard Shore,"The Council of Elrond Assembles / ""Aníron"" (feat. Enya)"
150,Tsunami Bomb,A Lonely Chord
151,Tantric,Astounded
152,Ms. Lauryn Hill,"Every Ghetto, Every City"
153,Common Rider,Am I On My Own
154,Chorus,Gayatri Mantra
155,Chris Wandell,Te Vas Arrepentir
156,Jóhann Jóhannsson,The Theory of Everything
157,McCafferty,Blue Eyes Like the Devils Water
158,Pete Rock,Rhyme Writer - Instrumental
159,Hans Zimmer,"This Land (From ""The Lion King"")"
160,The Aquabats!,Powdered Milk Man!
161,BRIDGE,Secrets
162,Eric Johnson,High Landrons
163,B.B. King,How Blue Can You Get?
164,Pendulum,Trail of Sevens
165,Snow,Girl I've Been Hurt
166,Blind Melon,Mouthful Of Cavities
167,Tom MacDonald,Dear Rappers
168,Bob Marley & The Wailers,Exodus - Kindred Spirit Dub Mix
169,Aaron Shust,Resurrecting - Live
170,Kali Uchis,Ridin' Round
171,Wiener Philharmoniker,"Frühlingsstimmen, Walzer Op.410"
172,The Bouncing Souls,Todd's Song
173,Tenille Townes,White Horse
174,Roy Ayers Ubiquity,Lifeline
175,Chris Thile,Watch 'At Breakdown
176,DEVO,Uncontrollable Urge
177,The Front Bottoms,Jim Bogart
178,Rupert Gregson-Williams,Head of the Family
179,Death Grips,The Fever (Aye Aye)
180,Justin Hurwitz,"It’s Over / Engagement Party - From ""La La Land"" Score"
181,Strike Anywhere,Fifth Estate
182,Rina Sawayama,Cyber Stockholm Syndrome
183,Josh Heinrichs,Set Fire to the Rain (Acoustic)
184,Guordan Banks,Keep You In Mind
185,D'Angelo,She's Always In My Hair - Live from Spotify NYC
186,Gnarls Barkley,Transformer
187,Remo Drive,Crash Test Rating
188,The Cat Empire,The Chariot
189,Maxo Kream,Work
190,Eddie Murphy,The Barbecue - Live
191,La Sonora Matancera,Mala jujer
192,Cantoma,Belafia
193,Hillsong Young & Free,Push/Pull
194,Maze,Silky Soul
195,Hilton Ruiz,Home Cookin'
196,Super Duper,Second Chances (feat. Louis Johnson)
197,Flying Lotus,The Boys Who Died in Their Sleep
198,Big K.R.I.T.,Pick Yourself Up
199,Georges Bizet,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)"
200,Doug Stanhope,Freemarket Pussy
201,Slapstick,The Park
202,The Glorious Sons,Heavy - Live at Longboat Hall
203,Randy Newman,Goodbye
204,The Avett Brothers,Part From Me
205,A Boogie Wit da Hoodie,Let's Start Over
206,Nathan Hawes,Left With The Wolves
207,Fortunate Youth,Vibes
208,Cage The Elephant,2024
209,Black Flag,My War
210,Skankin' Pickle,Make a Change
211,Russell Peters,Speaking English
212,Ella Vos,Cast Away - Baaku Remix
213,Cake,Thrills
214,Circa Waves,T-Shirt Weather
215,Kensuke Ushio,slt
216,Steve Hofstetter,What Do You Want From Me?
217,Young L3x,Hard Times
218,Ronald El Killa,Sin Testigos
219,Lewis Del Mar,Such Small Scenes
220,Johnnyswim,Live While We're Young - Live
221,Toots & The Maytals,Take Me Home Country Roads
222,Tink,Get You Home
223,Henri Salvador,Savez Vous Planter Des Choux - Remastered
224,Ray Charles,The Ray - 2016 Mono Remaster
225,Beach House,Norway
226,Giuseppe Verdi,"La traviata / Act 2: ""Invitato a qui seguirmi"""
227,Colton Dixon,Through All Of It
228,Elephant Man,Sweep
229,Junkie XL,Whose Body Is This?
230,Frankie Valli & The Four Seasons,Opus 17 (Don't You Worry 'Bout Me)
231,Sam Kinison,Lesbians Are Our Friends
232,slenderbodies,better like that
233,Diskord,Release Me
234,Bear Hands,Blue Lips (feat. Ursula Rose)
235,Giacomo Puccini,"Gianni Schicchi, Act I: O mio babbino caro (Gianni Schicchi)"
236,Nelly,Country Grammar (Hot...)
237,Chihei Hatakeyama,Bonfire On the Field
238,Stan Getz,E Luxo So
239,oofoe,anotherworld
240,Chelsea Cutler,Scripts
241,Boz Scaggs,Lowdown
242,Flyleaf,Set Me On Fire
243,Loreena McKennitt,All Souls Night
244,Eluvium,Requiem On Frankfort Ave
245,Los 4,Me Acuerdo
246,Jacquees,Ms. Kathy (Make Up)
247,Claude Debussy,"Préludes Book I, L. 117: VIII. La fille aux cheveux de lin (The Girl with the Flaxen Hair)"
248,William Basinski,On Time Out of Time 1.5
249,Pitbull,Go Girl
250,Giuseppe Verdi,"Verdi: Il Trovatore: All'erta, all'erta! - Ferrando - Act One Scene One"
251,Toots & The Maytals,Still Is Still Moving to Me
252,Moksi,Murda Sound (feat. MC Roga)
253,Mac Miller,Live Free
254,Young Dolph,What Yo Life Like
255,Jim Gaffigan,Domino's
256,Howard Shore,Radagast the Brown - Extended Version
257,Jóhann Jóhannsson,Part 5/ The Sun's Gone Dim And The Sky's Turned Black
258,Joey Montana,Freaky
259,Anna Moffo,Verdi: La Traviata: Sempre libera - Act One
260,Joey Montana,Fanatica
261,Croni-K,Arriba la vida (feat. Chocolate Blanco & Capozana)
262,Kendrick Lamar,Mortal Man
263,SZA,Warm Winds (feat. Isaiah Rashad)
264,Vince Guaraldi Trio,Thanksgiving Theme
265,R+R=NOW,Change Of Tone
266,Demon Hunter,When the Devil Come
267,Eddie Dee,Si No Cuidas Tu Mujer
268,Young Dolph,Preach
269,Dijon,Nico's Red Truck
270,Nirvana,Very Ape
271,Elephant Man,Bumpa
272,Bad Suns,Disappear Here
273,Young the Giant,Darkest Shade of Blue
274,George Carlin,You & Me (Things That Come off Your Body)
275,Talos,See Me
276,Howard Shore,"The Return of the King (feat. Sir James Galway, Viggo Mortensen and Renee Fleming)"
277,Smithfield,Still a Few
